Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
99,"X He, K Zhao, X Chu","AutoML: A Survey of the State-of-the-Art",2021,"Knowledge-Based Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950705120307516","https://scholar.google.com/scholar?cites=14053788355896295136&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-02-09 16:34:33","","","","",,,,,99,99.00,33,3,1,""
2,"YW Chen, Q Song, X Hu","Techniques for automated machine learning",2021,"ACM SIGKDD Explorations Newsletter","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3447556.3447567","https://scholar.google.com/scholar?cites=13706705616341581572&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-02-09 16:34:33","","","","",,,,,2,2.00,1,3,1,"… ABSTRACT Automated machine learning (AutoML) aims to find opti- mal machine learning solutions automatically given a prob- lem description, its task type, and datasets … State- of-the-art techniques in the three categories are presented …"
2,"D Peng, X Dong, E Real, M Tan, Y Lu, H Liu…","PyGlove: Symbolic Programming for Automated Machine Learning",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2101.08809","https://scholar.google.com/scholar?cites=660157294130018730&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-02-09 16:34:33","","","","",,,,,2,2.00,0,7,1,"… a large increase in accuracy thanks to changes in architectures, hyper-parameters, and training algorithms, from the seminal work of AlexNet [5] to recent state-of-the-art models such as … Automated Machine Learning (AutoML) is a promising paradigm for tackling this difficulty …"
0,"H Zeineddine, U Braendle, A Farah","Enhancing prediction of student success: Automated machine learning approach",2021,"Computers & Electrical Engineering","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790620307552","",4,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,3,1,"… Enhancing prediction of student success: Automated machine learning approach. Author links open overlay panelHassanZeineddine Udo … accuracy for predicting Pass. 2.8. Automated machine learning. After reviewing the widely …"
4,"A Agrapetidou, P Charonyktakis, P Gogas…","An AutoML application to forecasting bank failures",2021,"Applied Economics …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/13504851.2020.1725230","https://scholar.google.com/scholar?cites=2528655513397687975&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-02-09 16:34:33","","","","",,,,,4,4.00,1,4,1,"… We investigate the performance of an automated machine learning (AutoML) methodology in forecasting bank failures, called Just Add Data … of financial data analysts, shield against methodological statistical errors, and provide models at par with state-of-the-art manual analysis …"
0,"L Vaccaro, G Sansonetti, A Micarelli","An Empirical Review of Automated Machine Learning",2021,"Computers","mdpi.com","https://www.mdpi.com/2073-431X/10/1/11","",6,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,3,1,"… Get Information. clear. Open AccessArticle. An Empirical Review of Automated Machine Learning … Abstract. In recent years, Automated Machine Learning (AutoML) has become increasingly important in Computer Science due to the valuable potential it offers …"
0,"WTM Au-Yeung, RK Sevakula, JP Singh…","State of the Art in Artificial Intelligence and Machine Learning Techniques for Improving Patient Outcomes Pertaining to the Cardiovascular and Respiratory Systems",2021,"Cardiac Bioelectric …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-63355-4_24","",7,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,4,1,"… Cardiac Bioelectric Therapy pp 335-352 | Cite as. State of the Art in Artificial Intelligence and Machine Learning Techniques for Improving Patient Outcomes Pertaining to the Cardiovascular and Respiratory Systems. Authors; …"
0,"G Zervakis, H Saadat, H Amrouch…","Approximate Computing for ML: State-of-the-art, Challenges and Visions",2021,"Proceedings of the 26th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3394885.3431632","",8,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,4,1,"Page 1. Approximate Computing for ML: State-of-the-art, Challenges and Visions … ABSTRACT In this paper, we present our state-of-the-art approximate tech- niques that cover the main pillars of approximate computing re- search …"
0,"MA Zöller, TD Nguyen, MF Huber","Incremental Search Space Construction for Machine Learning Pipeline Synthesis",2021,"arXiv preprint arXiv:2101.10951","arxiv.org","https://arxiv.org/abs/2101.10951","",9,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,3,1,"… Automated machine learning (AutoML) aims for construct- ing machine learning (ML) pipelines automatically … effectiveness and competitiveness of our approach on 28 data sets used in well-established AutoML benchmarks in comparison with state-of-the-art AutoML frameworks …"
16,"I Bica, AM Alaa, C Lambert…","From real‐world patient data to individualized treatment effects using machine learning: current and future methods to address underlying challenges",2021,"Clinical Pharmacology …","Wiley Online Library","https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1002/cpt.1907","https://scholar.google.com/scholar?cites=6090427197544863286&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-02-09 16:34:33","","","","",,,,,16,16.00,4,4,1,"… In this section, we describe what is possible to achieve using current state-of-the-art machine learning methods for causal inference … The current state-of-the-art method for assessing overlap, developed by Johansson et al. [34] identifies overlap regions by …"
1,"A Inés, C Domínguez, J Heras, E Mata…","Biomedical image classification made easier thanks to transfer and semi-supervised learning",2021,"Computer Methods and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0169260720316151","https://scholar.google.com/scholar?cites=10927474833101855671&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-02-09 16:34:33","","","","",,,,,1,1.00,0,5,1,"… Deep learning techniques are the state-of-the-art approach to solve image classification problems in biomedicine; however, they require the acquisition and annotation of a … In this work, we present an Automated Machine Learning (AutoML) method to deal with these problems …"
1,"W Jiang, J Xiong, Y Shi","When Machine Learning Meets Quantum Computers: A Case Study",2021,"Proceedings of the 26th Asia and South Pacific …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3394885.3431629","https://scholar.google.com/scholar?cites=1389567331325341081&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-02-09 16:34:33","","","","",,,,,1,1.00,0,3,1,"… To better understand the state-of-the-art design and inspire new design methodology, this paper carries out a case study to … On machine learning, the automated machine learning (AutoML) [47, 48] significantly reduces the cost of designing neural networks to achieve AI …"
0,"L Vaccaro, G Sansonetti, A Micarelli","An Empirical Review of Automated Machine Learning. Computers 2021, 10, 11",2021,"","search.proquest.com","https://search.proquest.com/openview/2f3bcd2c7b6b8010d18c2dd3aba15377/1?pq-origsite=gscholar&cbl=2032413","",13,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,3,1,"… Based on this motivation, Automated Machine Learning (AutoML) has now become one of the most relevant research topics not only in the academic field but in the industrial one too [9,10] … [17] provide a comprehensive review of the State of the Art in the NAS domain …"
0,"MA Zöller, MF Huber","Benchmark and Survey of Automated Machine Learning Frameworks",2021,"Journal of Artificial Intelligence Research","jair.org","https://www.jair.org/index.php/jair/article/view/11854","",14,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,2,1,"… In doing so, readers will get a comprehensive overview of state-of-the-art AutoML algo- rithms. All important stages of building an ML pipeline automatically are introduced … Page 3. Benchmark and Survey of Automated Machine Learning Frameworks …"
1,"C Lee, A Light, A Alaa, D Thurtle…","Application of a novel machine learning framework for predicting non-metastatic prostate cancer-specific mortality in men using the Surveillance …",2021,"The Lancet Digital …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2589750020303149","https://scholar.google.com/scholar?cites=9942674870831750119&as_sdt=2005&sciodt=0,5&hl=en",15,"2021-02-09 16:34:33","HTML","","","",,,,,1,1.00,0,5,1,"… The four models included in this study ranged from traditional statistical models to state-of-the-art deep learning models: Cox proportional hazards, random survival forest, conditional inference survival forest, and DeepHit models (appendix p 1).24, 25, 26 The turning …"
0,"O Bezrukavnikov, R Linder","A Neophyte With AutoML: Evaluating the Promises of Automatic Machine Learning Tools",2021,"arXiv preprint arXiv:2101.05840","arxiv.org","https://arxiv.org/abs/2101.05840","",16,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,2,1,"… experience. This process pro- vides a unique understanding of the state of the art of AutoML tools … 14]. This ap- proach helps compare different AutoML systems with quantified accuracy relative to state-of-the-art and baseline methods …"
0,"M García-Domínguez, C Domínguez, J Heras…","UFOD: An AutoML Framework for the Construction, Comparison, and Combination of Object Detection Models",2021,"Pattern Recognition …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167865521000416","",17,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,4,1,"… the lack of support of many state-of-the-art algorithms for training them on custom datasets, or the variety of metrics employed to evaluate detection algorithms. These challenges have been tackled by the development of UFOD, an automated machine learning framework that …"
0,"F Divina, F Gómez-Vela, M García-Torres","Advanced Optimization Methods and Big Data Applications in Energy Demand Forecast",2021,"","mdpi.com","https://www.mdpi.com/2076-3417/11/3/1261/htm","",18,"2021-02-09 16:34:33","HTML","","","",,,,,0,0.00,0,3,1,"… With them, automated machine learning methods for extracting relevant patterns, high-performance computing, or data visualization are being successfully … The proposed model was compared with state-of-the-art deep learning-based techniques with different architectures …"
0,"K Goel, N Rajani, J Vig, S Tan, J Wu, S Zheng…","Robustness Gym: Unifying the NLP Evaluation Landscape",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2101.04840","",19,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,7,1,"… To verify that Robustness Gym can aid novel research analyses, we perform the first study of state-of-the-art commercial and academic named entity linking (NEL) systems, as well as a fine-grained analysis of state-of-the-art summarization models …"
0,"J Rainey","Enhancing gait recognition with 3D markerless motion capture",2021,"","ethos.bl.uk","https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.820586","",20,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,1,1,"… strengths of each. In this thesis a model-based gait recognition method is developed which makes use of state-of-the-art markerless motion capture and automated machine learning (AutoML) methods. Advances in 3D markerless …"
0,"SHS Basha, SK Vinakota, SR Dubey, V Pulabaigari…","AutoFCL: automatically tuning fully connected layers for handling small dataset",,"Neural Computing and …","Springer","https://link.springer.com/article/10.1007/s00521-020-05549-4","",21,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,5,,"… a CNN architecture suitable for a given task is the most demanding research theme in the area of Automated Machine Learning (AutoML) [5, 6 … The state-of-the-art CNN architectures proposed for ImageNet dataset are shown in Table 1. This table summarizes the total number of …"
0,"O Owoyele, P Pal","A novel machine learning-based optimization algorithm (ActivO) for accelerating simulation-driven engine design",2021,"Applied Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0306261921000234","",22,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,2,1,"… In order to circumvent the shortcomings of state-of-the-art evolutionary and ML optimization approaches discussed above, the authors recently proposed a novel ensemble ML-driven Active Optimizer (ActivO) technique [19], to significantly accelerate design optimization …"
0,"B Gagana","New Insights from Old Data: Multimodal Classification of Schizophrenia using Automated Deep Learning Configurations",2021,"bioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2020.11.02.364976v2.abstract","",23,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,1,1,"… Thus, experimentation with automated machine learning architectural frameworks (Au- toML) is presented in order to handle multimodal Functional Network Connectivity(FNC) and Source Based Morphometry(SBM) features based on functional magnetic resonance imaging …"
0,"P Dasgupta, JB Collins, R Mittu","Adversary-Aware Learning Techniques and Trends in Cybersecurity",2021,"","Springer","https://link.springer.com/content/pdf/10.1007/978-3-030-55692-1.pdf","",24,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,3,1,"… The contents of this book address the overarching need towards making automated, machine learning- based systems more robust and resilient against … We envisage that the collection of chapters in this book will provide a solid foundation of the state-of-the-art techniques in …"
0,"A Tomic, I Tomic, L Waldron, L Geistlinger, M Kuhn…","SIMON: open-source knowledge discovery platform",2021,"Patterns","Elsevier","https://www.sciencedirect.com/science/article/pii/S2666389920302427","",25,"2021-02-09 16:34:33","HTML","","","",,,,,0,0.00,0,6,1,"… In SIMON, analysis is performed using an intuitive graphical user interface and standardized, automated machine learning approach allowing non … We have developed a modular open-source software, SIMON, to facilitate the application of 180+ state-of-the-art machine-learning …"
1,"BJ Shields, J Stevens, J Li, M Parasram, F Damani…","Bayesian reaction optimization as a tool for chemical synthesis",2021,"Nature","nature.com","https://www.nature.com/articles/s41586-021-03213-y","https://scholar.google.com/scholar?cites=6527840634407638632&as_sdt=2005&sciodt=0,5&hl=en",26,"2021-02-09 16:34:33","","","","",,,,,1,1.00,0,6,1,"… Here we report the development of a framework for Bayesian reaction optimization and an open-source software tool that allows chemists to easily integrate state-of-the-art optimization algorithms into their everyday laboratory practices …"
0,"H Narayanan, F Dingfelder, A Butté, N Lorenzen…","Machine Learning for Biologics: Opportunities for Protein Engineering, Developability, and Formulation",2021,"Trends in …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0165614720302856","",27,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,5,1,"JavaScript is disabled on your browser. Please enable JavaScript to use all the features on this page. Skip to main content Skip to article …"
0,"İ Cantürk","A Feature Driven Intelligent System for Neurodegenerative Disorder Detection: An Application on Speech Dataset for Diagnosis of Parkinson's Disease",2021,"International Journal on Artificial Intelligence Tools","World Scientific","https://www.worldscientific.com/doi/abs/10.1142/S0218213021500111","",28,"2021-02-09 16:34:33","CITATION","","","",,,,,0,0.00,0,1,1,"… Therefore, voice tests are used for early detection of the disease. In this study, an automated machine learning system was proposed for high accuracy classification of the speech signals of PD patients … The proposed system obtained state of the art results in all categories …"
0,"A Wawer, I Chojnicka, L Okruszek…","Single and Cross-Disorder Detection for Autism and Schizophrenia",2021,"Cognitive …","Springer","https://link.springer.com/article/10.1007/s12559-021-09834-9","",29,"2021-02-09 16:34:33","HTML","","","",,,,,0,0.00,0,4,1,"… concept-level analysis on texts. Further, we applied selected state-of-the-art deep learning methods for text representation and inference, as well as experimented with transfer and zero-shot learning. Finally, we also explored …"
0,"H Singh, AK Gupta","Implementation and Application of Machine Learning in Health Care: A Review",2021,"Proceedings of the Second International Conference …","Springer","https://link.springer.com/chapter/10.1007/978-981-15-9689-6_71","",30,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,2,1,"… https://doi.org/10.1016/j.procs.2018.05.020CrossRefGoogle Scholar. 6. Waring J, Lindvall C, Umeton R (2020) Automated machine learning: review of the state-of-the-art and opportunities for healthcare. Artif Intell Med 104(January):101822 …"
0,"T Munger, S Desa","A Statistical Design of Experiments Approach to Machine Learning Model Selection in Engineering Applications",2021,"Journal of Computing and …","asmedigitalcollection.asme.org","https://asmedigitalcollection.asme.org/computingengineering/article-abstract/21/1/011008/1085771","",31,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,2,1,"… Recent work in automated machine learning (AutoML) [7,8] has extended model selection to include other parameters such as data transformations … of trade-offs involved in the statistical DOE approach and when it should be used over other state-of-the-art methods such as …"
0,"M Grellert, LA da Silva Cruz, B Zatt, S Bampi","Coding mode decision algorithm for fast HEVC transrating using heuristics and machine learning",,"Journal of Real-Time Image …","Springer","https://link.springer.com/article/10.1007/s11554-020-01063-x","",32,"2021-02-09 16:34:33","","","","",,,,,0,0.00,0,4,,"… 1.06%. A comparison with related works showed that the proposed method is able to outperform state-of-the-art solutions in terms of combined rate-distortion–complexity performance indicators. Introduction. Protocols based …"
3,"X Dong, L Liu, K Musial…","NATS-Bench: Benchmarking nas algorithms for architecture topology and size",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9336247/","https://scholar.google.com/scholar?cites=8415806861578399138&as_sdt=2005&sciodt=0,5&hl=en",33,"2021-02-09 16:34:33","","","","",,,,,3,3.00,1,4,1,"… We also show the versatility of NATS-Bench by benchmarking 13 recent state-of-the-art NAS algorithms on it … We demonstrate, using 13 state-of-the-art NAS algorithms applied on NATS-Bench, how the process has been unified through an easy-to-use API …"
2,"S Estévez-Velarde, Y Gutiérrez, Y Almeida-Cruz…","General-purpose hierarchical optimisation of machine learning pipelines with grammatical evolution",2021,"Information …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0020025520306988","https://scholar.google.com/scholar?cites=10293126425494394107&as_sdt=2005&sciodt=0,5&hl=en",34,"2021-02-09 16:34:33","","","","",,,,,2,2.00,1,4,1,"… Section 3 introduces HML-Opt, describing its overall design and relevant implementation details. Section 4 presents two case studies involving different datasets, ranging from simple classification problems to state-of-the-art knowledge discovery problems …"
