Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
3,"B Ru, C Lyle, L Schut, M van der Wilk, Y Gal","Revisiting the train loss: an efficient performance estimator for neural architecture search",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2006.04492","https://scholar.google.com/scholar?cites=17467475770142217602&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-02-11 20:47:28","","","","",,,,,3,3.00,1,5,1,"Reliable yet efficient evaluation of generalisation performance of a proposed architecture is crucial to the success of neural architecture search (NAS). Traditional approaches face a variety of limitations: training each architecture to completion is prohibitively expensive, early …"
33,"TE Arber Zela, T Saikia…","Understanding and robustifying differentiable architecture search",2020,"International …","ml.informatik.uni-freiburg.de","https://ml.informatik.uni-freiburg.de/papers/20-ICLR-RobustDARTS-slides.pdf","https://scholar.google.com/scholar?cites=12637009470753937722&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-02-11 20:47:28","PDF","","","",,,,,33,33.00,11,3,1,"… Arber Zela RobustDARTS February 19, 2020 2 Page 4. Towards efficient Neural Architecture Search (NAS) … Figure taken from FastAI Arber Zela RobustDARTS February 19, 2020 3 Page 5. Towards efficient Neural Architecture Search (NAS) …"
3,"I Singh, H Zhou, K Yang, M Ding, B Lin…","Differentially-private federated neural architecture search",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2006.10559","https://scholar.google.com/scholar?cites=4316603929651548304&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-02-11 20:47:28","","","","",,,,,3,3.00,1,6,1,"Neural architecture search, which aims to automatically search for architectures (eg, convolution, max pooling) of neural networks that maximize validation performance, has achieved remarkable progress recently. In many application scenarios, several parties …"
4,"B Ru, X Wan, X Dong, M Osborne","Neural Architecture Search using Bayesian Optimisation with Weisfeiler-Lehman Kernel",2020,"arXiv preprint arXiv:2006.07556","arxiv.org","https://arxiv.org/abs/2006.07556","https://scholar.google.com/scholar?cites=5903817709289891610&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-02-11 20:47:28","","","","",,,,,4,4.00,1,4,1,"Bayesian optimisation (BO) has been widely used for hyperparameter optimisation but its application in neural architecture search (NAS) is limited due to the non-continuous, high-dimensional and graph-like search spaces. Current approaches either rely on encoding …"
2,"A Camero, H Wang, E Alba, T Bäck","Bayesian neural architecture search using a training-free performance metric",2020,"arXiv preprint arXiv:2001.10726","arxiv.org","https://arxiv.org/abs/2001.10726","https://scholar.google.com/scholar?cites=17600446181571078188&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-02-11 20:47:28","","","","",,,,,2,2.00,1,4,1,"Recurrent neural networks (RNNs) are a powerful approach for time series prediction. However, their performance is strongly affected by their architecture and hyperparameter settings. The architecture optimization of RNNs is a time-consuming task, where the search …"
1,"Z Yue, B Lin, X Huang, Y Zhang","Effective, Efficient and Robust Neural Architecture Search",2020,"arXiv preprint arXiv:2011.09820","arxiv.org","https://arxiv.org/abs/2011.09820","https://scholar.google.com/scholar?cites=10027743993182481587&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-02-11 20:47:28","","","","",,,,,1,1.00,0,4,1,"Recent advances in adversarial attacks show the vulnerability of deep neural networks searched by Neural Architecture Search (NAS). Although NAS methods can find network architectures with the state-of-the-art performance, the adversarial robustness and resource …"
24,"Y Jiang, C Hu, T Xiao, C Zhang, J Zhu","Improved differentiable architecture search for language modeling and named entity recognition",2019,"Proceedings of the 2019 …","aclweb.org","https://www.aclweb.org/anthology/D19-1367/","https://scholar.google.com/scholar?cites=15842621903102878751&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-02-11 20:47:28","","","","",,,,,24,12.00,5,5,2,"… Abstract In this paper, we study differentiable neural architecture search (NAS) methods for natu- ral language processing. In particular, we im- prove differentiable architecture search by re- moving the softmax-local constraint …"
0,"S Xie, S Hu, X Wang, C Liu, J Shi, X Liu…","Understanding the wiring evolution in differentiable neural architecture search",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2009.01272","",8,"2021-02-11 20:47:28","","","","",,,,,0,0.00,0,7,1,"Controversy exists on whether differentiable neural architecture search methods discover wiring topology effectively. To understand how wiring topology evolves, we study the underlying mechanism of several existing differentiable NAS frameworks. Our investigation …"
1,"X Ning, W Li, Z Zhou, T Zhao, Y Zheng, S Liang…","A surgery of the neural architecture evaluators",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2008.03064","https://scholar.google.com/scholar?cites=5529395681449509537&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-02-11 20:47:28","","","","",,,,,1,1.00,0,7,1,"… Abstract Neural architecture search (NAS) recently received extensive attention due to its effectiveness in automatically designing effective neural architectures. A major challenge in NAS is to conduct a fast and accurate evaluation of neural architectures …"
4,"Z Fan, J Wei, G Zhu, J Mo, W Li","Evolutionary neural architecture search for retinal vessel segmentation",2020,"arXiv e-prints","ui.adsabs.harvard.edu","https://ui.adsabs.harvard.edu/abs/2020arXiv200106678F/abstract","https://scholar.google.com/scholar?cites=1671653755685112543&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-02-11 20:47:28","","","","",,,,,4,4.00,1,5,1,"The accurate retinal vessel segmentation (RVS) is of great significance to assist doctors in the diagnosis of ophthalmology diseases and other systemic diseases. Manually designing a valid neural network architecture for retinal vessel segmentation requires high expertise …"
4,"N Qiang, B Ge, Q Dong, F Ge, T Liu","Neural architecture search for optimizing deep belief network models of fMRI data",2019,"International Workshop on Multiscale …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-37969-8_4","https://scholar.google.com/scholar?cites=16960371518026484818&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-02-11 20:47:28","","","","",,,,,4,2.00,1,5,2,"It has been shown that deep neural networks are powerful and flexible models that can be applied on fMRI data with superb representation ability over traditional methods. However, a new challenge of neural network architecture design has also attracted attention: due to the …"
1,"Y Gou, B Li, Z Liu, S Yang, X Peng","CLEARER: Multi-Scale Neural Architecture Search for Image Restoration",2020,"Advances in Neural Information Processing …","","","https://scholar.google.com/scholar?cites=3207659434560988619&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-02-11 20:47:28","CITATION","","","",,,,,1,1.00,0,5,1,""
1,"H Tsai, J Ooi, CS Ferng, HW Chung, J Riesa","Finding Fast Transformers: One-Shot Neural Architecture Search by Component Composition",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2008.06808","https://scholar.google.com/scholar?cites=11112117246021095607&as_sdt=2005&sciodt=0,5&hl=en",13,"2021-02-11 20:47:28","","","","",,,,,1,1.00,0,5,1,"Transformer-based models have achieved stateof-the-art results in many tasks in natural language processing. However, such models are usually slow at inference time, making deployment difficult. In this paper, we develop an efficient algorithm to search for fast models …"
4,"MT Luong, D Dohan, AW Yu, QV Le, B Zoph…","Exploring neural architecture search for language tasks",2018,"","openreview.net","https://openreview.net/forum?id=r1Zi2Mb0-","https://scholar.google.com/scholar?cites=2856603725574680280&as_sdt=2005&sciodt=0,5&hl=en",14,"2021-02-11 20:47:28","","","","",,,,,4,1.33,1,6,3,"Neural architecture search (NAS), the task of finding neural architectures automatically, has recently emerged as a promising approach for unveiling better models over human-designed ones. However, most success stories are for vision tasks and have been quite …"
1,"T Elsken, JH Metzen, F Hutter","Correction to: Neural architecture search",2019,"Automated Machine Learning","Springer","https://link.springer.com/content/pdf/10.1007/978-3-030-05318-5_11.pdf","https://scholar.google.com/scholar?cites=717134105040219301&as_sdt=2005&sciodt=0,5&hl=en",15,"2021-02-11 20:47:28","","","","",,,,,1,0.50,0,3,2,"The original version of this chapter was inadvertently published without the author “Thomas Elsken” primary affiliation. The affiliation has now been updated as below … Bosch Center for Artificial Intelligence, Robert Bosch GmbH, Renningen, Baden- Württemberg, Germany … Department …"
2,"Y Li, Z Yang, Y Wang, C Xu","Adapting neural architectures between domains",2020,"Advances in Neural Information Processing Systems","","","https://scholar.google.com/scholar?cites=15474765041948411848&as_sdt=2005&sciodt=0,5&hl=en",16,"2021-02-11 20:47:28","CITATION","","","",,,,,2,2.00,1,4,1,""
2,"A Klein, LC Tiao, T Lienart, C Archambeau…","Model-based asynchronous hyperparameter and neural architecture search",2020,"arXiv e …","ui.adsabs.harvard.edu","https://ui.adsabs.harvard.edu/abs/2020arXiv200310865K/abstract","https://scholar.google.com/scholar?cites=3938195535215199880&as_sdt=2005&sciodt=0,5&hl=en",17,"2021-02-11 20:47:28","","","","",,,,,2,2.00,0,5,1,"We introduce a model-based asynchronous multi-fidelity method for hyperparameter and neural architecture search that combines the strengths of asynchronous Hyperband and Gaussian process-based Bayesian optimization. At the heart of our method is a probabilistic …"
0,"R Geada, D Prangle, AS McGough","Bonsai-Net: One-Shot Neural Architecture Search via Differentiable Pruners",2020,"arXiv preprint arXiv:2006.09264","arxiv.org","https://arxiv.org/abs/2006.09264","",18,"2021-02-11 20:47:28","","","","",,,,,0,0.00,0,3,1,"One-shot Neural Architecture Search (NAS) aims to minimize the computational expense of discovering state-of-the-art models. However, in the past year attention has been drawn to the comparable performance of naive random search across the same search spaces used …"
