Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"R Jie, J Gao","Differentiable Neural Architecture Search for High-Dimensional Time Series Forecasting",2021,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9340253/","",1,"2021-02-11 21:09:54","","","","",,,,,0,0.00,0,2,1,"This study applies neural architecture search (NAS) techniques to the modeling of high-dimensional time series data such as multi-variate stock indices. It is known that traditional NAS method applies fully connected directed acyclic graph (DAG) for searching cell …"
0,"J Zhao, R Zhang, Z Zhou, S Chen, J Jin, Q Liu","A Neural Architecture Search Method Based on Gradient Descent for Remaining Useful Life Estimation",2021,"Neurocomputing","Elsevier","https://www.sciencedirect.com/science/article/pii/S092523122100148X","",2,"2021-02-11 21:09:54","","","","",,,,,0,0.00,0,6,1,"Remaining useful life is the estimated continuous normal working time of a component or system from the current moment to the potential failure. The traditional methods have high trial-and-error costs and poor migration capabilities. Fortunately, the neural architecture …"
0,"A Keller Rorabaugh, S Caíno-Lores…","PEng4NN: An Accurate Performance Estimation Engine for Efficient Automated Neural Network Architecture Search",2021,"arXiv e …","ui.adsabs.harvard.edu","https://ui.adsabs.harvard.edu/abs/2021arXiv210104185K/abstract","",3,"2021-02-11 21:09:54","","","","",,,,,0,0.00,0,3,1,"… error-prone process. Neural architecture search (NAS) automates the design of NN architectures. NAS attempts … error-prone process. Neural architecture search (NAS) automates the design of NN architectures. NAS attempts …"
0,"R Jie","Online Architecture Optimization for Deep Neural Networks",2021,"","ses.library.usyd.edu.au","https://ses.library.usyd.edu.au/handle/2123/24342","",4,"2021-02-11 21:09:54","","","","",,,,,0,0.00,0,1,1,"… Based on this, I propose an optimization method that adaptively learns the combination weights for different levels of adaptive learning rates. In the fourth study, I introduce a growing mechanism for differentiable neural architecture search based on network morphism …"
0,"S Gomez-Rosero, MAM Capretz, S Mir","Transfer Learning by Similarity Centred Architecture Evolution for Multiple Residential Load Forecasting",2021,"Smart Cities","mdpi.com","https://www.mdpi.com/981762","",5,"2021-02-11 21:09:54","","","","",,,,,0,0.00,0,3,1,"… This paper proposes a method combining evolutionary algorithms for neural architecture search with transfer learning to perform short term load forecasting in a neighbourhood with multiple household load consumption. The …"
0,"S Lang, T Reggelin, J Schmidt, M Müller…","NeuroEvolution of Augmenting Topologies for Solving a Two-Stage Hybrid Flow Shop Scheduling Problem: A Comparison of Different Solution Strategies",2021,"Expert Systems with …","Elsevier","https://www.sciencedirect.com/science/article/pii/S095741742100107X","",6,"2021-02-11 21:09:54","","","","",,,,,0,0.00,0,5,1,"… scheduling environment with family setup times. NEAT is a machine-learning and neural architecture search algorithm, which generates both, the structure and the hyper-parameters of an ANN. Our experiments show that NEAT …"
0,"COJMT Efstratios, GM Welling","Combinatorial Bayesian Optimization using the Graph Cartesian Product",,"pure.uva.nl","","https://pure.uva.nl/ws/files/54676650/NeurIPS_2019_combinatorial_bayesian_optimization_using_the_graph_cartesian_product_Paper.pdf","",7,"2021-02-11 21:09:54","PDF","","","",,,,,0,0.00,0,2,,"… Despite the abundance of potential applications of Combinatorial BO, including chipset configuration search and neural architecture search, only a handful of methods have been pro- posed. We introduce COMBO, a new Gaussian Process (GP) BO …"
0,"S Zubair, AK Singha","Network in Sequential Form: Combine Tree Structure Components into Recurrent Neural Network",2021,"IOP Conference Series: Materials Science …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1757-899X/1017/1/012004/meta","",8,"2021-02-11 21:09:54","","","","",,,,,0,0.00,0,2,1,"… 7. References [1] Zoph, B. and Le, QV, 2016. Neural architecture search with reinforcement learning. arXiv preprint arXiv:1611.01578 … 1019–1027. [18] BarretZoph and Quoc V,Ba.,2016, Le. Neural architecture search with reinforcement learning. ArXivpreprintarXiv 1611.01578."
0,"R Liu, J Gao, J Zhang, D Meng, Z Lin","Investigating Bi-Level Optimization for Learning and Vision from a Unified Perspective: A Survey and Beyond",2021,"arXiv preprint arXiv:2101.11517","arxiv.org","https://arxiv.org/abs/2101.11517","",9,"2021-02-11 21:09:54","","","","",,,,,0,0.00,0,5,1,"… In machine learning and computer vision fields, despite the different motivations and mechanisms, a lot of complex problems, such as hyper-parameter optimization, multi-task and meta-learning, neural architecture search, adversarial learning and deep reinforcement learning …"
0,"XY Xu, YZ Huang, YC Luo, G Ouyang…","Research on Traffic Classification of Auto Machine-learning Base on Meta-QNN",2021,"Journal of Physics …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1742-6596/1757/1/012006/meta","",10,"2021-02-11 21:09:54","","","","",,,,,0,0.00,0,5,1,"… research work and commercial products. Neural Architecture Search (NAS), which is an efficient and concise network architecture search idea, is also one of the bases of today's mainstream AutoML thought. Its feature is to find …"
